"Bestedingscategorieën";"Perioden";"CPI (2015 = 100)";"CPI afgeleid (2015 = 100)";"Jaarmutatie CPI (%)";"Jaarmutatie CPI afgeleid (%)"
"021300 Bier";"1996";"   68.37";"   81.62";"";""
"021300 Bier";"1997";"   68.47";"   81.74";"     0.1";"     0.1"
"021300 Bier";"1998";"   68.51";"   81.79";"     0.1";"     0.1"
"021300 Bier";"1999";"   69.13";"   82.54";"     0.9";"     0.9"
"021300 Bier";"2000";"   68.75";"   82.08";"    -0.5";"    -0.6"
"021300 Bier";"2001";"   74.54";"   87.90";"     8.4";"     7.1"
"021300 Bier";"2002";"   80.34";"   91.69";"     7.8";"     4.3"
"021300 Bier";"2003";"   83.24";"   93.76";"     3.6";"     2.3"
"021300 Bier";"2004";"   77.33";"   86.90";"    -7.1";"    -7.3"
"021300 Bier";"2005";"   75.91";"   85.28";"    -1.8";"    -1.9"
"021300 Bier";"2006";"   77.61";"   87.20";"     2.2";"     2.3"
"021300 Bier";"2007";"   79.48";"   89.30";"     2.4";"     2.4"
"021300 Bier";"2008";"   82.91";"   93.16";"     4.3";"     4.3"
"021300 Bier";"2009";"   89.29";"   94.77";"     7.7";"     1.7"
"021300 Bier";"2010";"   90.16";"   95.57";"     1.0";"     0.8"
"021300 Bier";"2011";"   89.74";"   95.13";"    -0.5";"    -0.5"
"021300 Bier";"2012";"   93.12";"   98.29";"     3.8";"     3.3"
"021300 Bier";"2013";"   99.00";"  100.77";"     6.3";"     2.5"
"021300 Bier";"2014";"  101.64";"  101.68";"     2.7";"     0.9"
"021300 Bier";"2015";"  100.00";"  100.00";"    -1.6";"    -1.7"
"021300 Bier";"2016";"  100.69";"  100.62";"     0.7";"     0.6"
"021300 Bier";"2017";"  100.87";"  100.80";"     0.2";"     0.2"
"021300 Bier";"2018";"  102.72";"  102.64";"     1.8";"     1.8"
"021300 Bier";"2019";"  103.40";"  102.97";"     0.7";"     0.3"
