Entity,Category,Year,PcIndex_Base2005,Derived_CPI,YoY_change%,Y0Y_changeD%
Netherlands,"Milk, cheese and eggs",1996,74.06,74.06,,
Netherlands,"Milk, cheese and eggs",1997,74.22,74.22,0.2,0.2
Netherlands,"Milk, cheese and eggs",1998,75.54,75.54,1.8,1.8
Netherlands,"Milk, cheese and eggs",1999,75.4,75.4,-0.2,-0.2
Netherlands,"Milk, cheese and eggs",2000,75.64,75.64,0.3,0.3
Netherlands,"Milk, cheese and eggs",2001,81.35,81.35,7.5,7.5
Netherlands,"Milk, cheese and eggs",2002,85.27,85.27,4.8,4.8
Netherlands,"Milk, cheese and eggs",2003,87.36,87.36,2.5,2.5
Netherlands,"Milk, cheese and eggs",2004,84.0,84.0,-3.8,-3.8
Netherlands,"Milk, cheese and eggs",2005,81.49,81.49,-3.0,-3.0
Netherlands,"Milk, cheese and eggs",2006,80.35,80.35,-1.4,-1.4
Netherlands,"Milk, cheese and eggs",2007,82.33,82.33,2.5,2.5
Netherlands,"Milk, cheese and eggs",2008,93.74,93.74,13.9,13.9
Netherlands,"Milk, cheese and eggs",2009,92.92,92.92,-0.9,-0.9
Netherlands,"Milk, cheese and eggs",2010,91.28,91.28,-1.8,-1.8
Netherlands,"Milk, cheese and eggs",2011,92.25,92.25,1.1,1.1
Netherlands,"Milk, cheese and eggs",2012,94.34,94.34,2.3,2.3
Netherlands,"Milk, cheese and eggs",2013,95.9,95.9,1.7,1.7
Netherlands,"Milk, cheese and eggs",2014,100.73,100.73,5.0,5.0
Netherlands,"Milk, cheese and eggs",2015,100.0,100.0,-0.7,-0.7
Netherlands,"Milk, cheese and eggs",2016,98.06,98.06,-1.9,-1.9
Netherlands,"Milk, cheese and eggs",2017,104.17,104.17,6.2,6.2
Netherlands,"Milk, cheese and eggs",2018,108.39,108.39,4.1,4.1
Netherlands,"Milk, cheese and eggs",2019,112.88,109.78,4.1,1.3
